,,,,,,,,
,,,,,,,,
AD LEVEL METRICS,,,,,,,,
,,,,,,,,
ad_name,Total Spend,% of Spend,Total No Payments,AVERAGE CPC,AVG Conversion Rate,AVG CPLPV,AVG CTR,Insights From Top ADS Metrics 
foreigner ugc,3241,0.85%,1,₹2.57,0.08,₹16.97,0.81,
instagram post: stepout is an app designed to...,3138,0.82%,21,₹2.01,1.34,₹46.15,0.42,
stranger - influencer _ video,2915,0.76%,3,₹7.69,0.79,₹19.56,2.92,
local,2849,0.74%,18,₹0.83,0.52,₹1.43,1.09,
instagram post: dinner with strangers? more like...,2811,0.73%,27,₹1.49,1.43,₹11.29,2.50,
5 strangers - ver 1,2799,0.73%,38,₹1.01,0.71,₹1.86,0.97,
c | table view | single- high value – copy,2665,0.70%,2,₹8.91,0.62,₹17.29,2.63,
"gibhli art | food, dinner",2385,0.62%,3,₹8.36,0.50,₹17.09,3.42,
c | event,2374,0.62%,1,₹10.49,0.32,₹23.50,1.94,
web app | conversion | stepout | delhi | faridabad | noida,2273,0.59%,1,₹11.42,0.50,₹23.19,1.66,
c | table view | event,2266,0.59%,0,₹8.75,0.00,₹19.08,2.46,
instagram post: dinner with strangers? feels...,2160,0.56%,6,₹2.51,0.74,₹66.93,0.51,
gibhli art | socializing,2111,0.55%,4,₹5.82,1.16,₹14.83,3.37,
c | 5 strangers toss | single- high value – copy,2099,0.55%,0,₹5.61,0.00,₹11.55,2.71,
b | cheers | event,2022,0.53%,1,₹14.55,0.21,₹59.11,1.99,
a | join waitlist,1846,0.48%,0,₹24.97,0.00,₹105.57,1.47,
c | dating + high value,1791,0.47%,1,₹8.78,0.25,₹17.88,1.77,
ad- 8 || saturday || event _ mid + high value,1772,0.46%,1,₹16.41,0.93,₹29.53,1.28,
"b | cheers | food, dinner",1731,0.45%,1,₹12.78,0.45,₹38.64,2.81,
ad - 5 || college reel || dating apps,1635,0.43%,2,₹18.37,2.25,₹26.37,2.61,
instagram post: we don’t leave connection to...,1590,0.42%,18,₹1.57,1.78,₹16.91,1.22,
ad - 5 || story edit |,1481,0.39%,9,₹10.36,6.29,₹16.10,2.68,
ad - 5 || college reel || freq. traveller || d n f,1465,0.38%,0,₹27.13,0.00,₹86.18,0.39,
b | cheers | entrepreneurship,1384,0.36%,0,₹17.74,0.00,₹37.41,1.78,
b | cheers | socializing,1297,0.34%,0,₹12.32,0.00,₹23.80,2.83,
ad- 8 || saturday |,1297,0.34%,3,₹7.17,1.66,₹12.47,2.43,
people at dinner,1285,0.34%,12,₹1.14,1.06,₹1.81,2.41,
ugc (baang),1208,0.32%,6,₹1.28,0.63,₹1.65,3.87,
ad - 5 || ugc selfie || single ( mid & high value - f – copy,1149,0.30%,0,₹44.19,0.00,₹60.47,0.55,
c | 5 strangers | socializing,1131,0.30%,3,₹5.53,0.45,₹12.00,2.55,
c | breaking bad,1040,0.27%,0,₹13.51,0.00,₹31.21,1.86,
c | cheers | dating + high value,960,0.25%,1,₹13.17,0.33,₹21.33,2.31,
ad - 7 || tell new stories || single mid & hig,945,0.25%,0,₹52.50,0.00,₹72.69,0.48,
c | single- high value – copy,925,0.24%,6,₹6.09,1.78,₹12.01,2.84,
c | 5 strangers | single- high value – copy,861,0.22%,0,₹19.39,0.00,₹20.93,2.11,
c | socializing,846,0.22%,0,₹13.82,0.00,₹20.53,1.93,
c | 5 strangers toss | entrepreneurship,595,0.16%,0,₹7.93,0.00,₹17.50,2.84,
ad - 2 || ghibli art |,522,0.14%,0,₹4.08,0.00,₹9.85,3.31,
ad - 3 || table view |,471,0.12%,0,₹10.24,0.00,₹13.85,2.25,
instagram post: everyone starts as a stranger....,461,0.12%,1,₹2.15,0.47,₹14.87,0.62,
instagram post: “why dinner with strangers?”...,438,0.11%,3,₹1.70,1.16,₹24.33,0.64,
c | cheers | single- high value,425,0.11%,0,₹25.55,0.00,₹17.39,1.16,
ad - 5 || college reel |,407,0.11%,1,₹11.97,2.94,₹29.07,2.16,
5 strangers | traffic | clubbed audience,396,0.10%,0,₹1.63,0.00,₹5.35,0.94,
ad - 7 || tell new stories |,389,0.10%,0,₹11.11,0.00,₹20.47,2.42,
gibhli art - single + high value – copy,380,0.10%,1,₹6.42,2.27,₹22.83,3.08,
instagram post: the table didn’t just hold food....,366,0.10%,2,₹1.91,1.04,₹183.00,0.98,
ad - 5 || story edit || recently moved – copy,358,0.09%,0,₹18.84,0.00,₹51.14,0.93,
ad - 5 || ugc selfie || event ( mid & high value - f,355,0.09%,0,₹35.50,0.00,₹177.50,0.61,
c | table view | dating + high value,325,0.08%,1,₹8.09,1.79,₹21.95,2.12,
ad - 7 || tell new stories || event - d n f,325,0.08%,0,₹29.55,0.00,₹81.25,0.68,
ad - 5 || ugc selfie || dating apps,309,0.08%,0,₹25.75,0.00,₹77.25,1.18,
"instagram post: ? straight outta gurgaon, sealed...",301,0.08%,0,₹2.98,0.00,₹301.00,0.34,
c | table view | socializing,285,0.07%,0,₹8.98,0.00,₹30.48,2.07,
foodie - ver 3,260,0.07%,6,₹1.02,2.34,₹1.42,0.96,
ad 9 || event - mid & high | dnf,236,0.06%,0,₹59.00,0.00,₹236.00,0.87,
a | reel - would you rather,234,0.06%,0,₹14.63,0.00,₹58.50,2.91,
ad - 9 || camera |,220,0.06%,0,₹18.33,0.00,₹31.43,1.66,
ad 9 || dating apps + high value,206,0.05%,0,₹29.43,0.00,₹68.67,1.96,
ad- 10 || 5 stangers ( foreigner ) || dating apps + high value – copy,188,0.05%,0,₹26.86,0.00,₹26.86,1.66,
ad- 8 || saturday || dating apps + high value,175,0.05%,0,₹35.00,0.00,₹0.00,0.59,
ad - 7 || tell new stories || food & dinner,154,0.04%,0,₹51.33,0.00,₹0.00,0.80,
ad 9 || fiood & dinner - mid & high,142,0.04%,0,₹23.67,0.00,₹47.33,2.16,
ad - 6 || ugc selfie |,140,0.04%,0,₹20.00,0.00,₹46.67,1.24,
ad - 5 || ugc selfie || food & dinner,136,0.04%,0,₹45.33,0.00,₹68.00,0.42,
ad - 4 || cheers |,97,0.03%,0,₹4.22,0.00,₹8.82,9.09,
ad - 7 || tell new stories || dating apps + high value,80,0.02%,0,₹80.00,0.00,₹80.00,0.30,
b Cheers,57,0.01%,0,₹11.40,0.00,₹28.50,3.11,
c | cheers | single- high value – copy,40,0.01%,0,₹5.92,0.00,₹8.50,3.56,
gibhli art | entrepreneurship,36,0.01%,0,₹5.14,0.00,₹12.00,3.54,
c | table view | entrepreneurship,36,0.01%,0,₹5.14,0.00,₹18.00,4.40,
ad 9 || single - mid & high | dnf,35,0.01%,0,₹0.00,0.00,₹0.00,0.00,
lunch launch - bright - ver 5,22,0.01%,1,₹0.76,3.45,₹1.22,1.20,
lunch launch - bright - ver 3,21,0.01%,0,₹0.84,0.00,₹1.75,1.01,
c | 5 strangers | entrepreneurship,11,0.00%,0,₹11.00,0.00,₹11.00,1.92,
c | entrepreneurship,9,0.00%,0,₹9.00,0.00,₹0.00,2.33,
ad- 8 || saturday || single - mid & high || dnf _ female,5,0.00%,0,₹0.00,0.00,₹0.00,0.00,
a | join waitlist reel,1,0.00%,0,₹1.00,0.00,₹0.00,0.91,
Grand Total,383062,100.00%,994,₹11.11,0.48,₹26.97,2.12,
